-0.92196,7.0244
-0.44776,0.0092753
-0.86582,5.6295
-0.44833,0.086308
0.17917,0.60475
-0.86013,5.4947
0.37747,0.95898
0.50624,1.3963
-0.49887,0.35666
-0.77316,3.9984
0.26114,0.84224
-0.9546,8.2961
0.82979,2.5537
-0.16613,-0.35151
-0.50486,0.78442
0.48771,1.5835
0.75452,2.1458
-0.042763,-0.29479
-0.83219,4.8491
-0.40491,0.19851
0.77643,2.2841
0.78755,2.2421
0.47125,1.4555
0.5241,1.3919
0.14822,0.28564
0.51855,1.6142
0.68446,2.1123
-0.43137,0.015259
0.051742,0.066524
-0.88819,6.1615
-0.081164,-0.13042
0.42822,1.4207
-0.5083,0.81586
-0.61303,1.473
-0.97208,8.8803
-0.23183,-0.13259
-0.2366,-0.19503
-0.90923,6.9525
-0.57391,0.87379
-0.90429,6.9501
0.42468,1.0489
-0.6123,1.3164
-0.40324,0.071482
0.47566,1.2322
-0.53362,0.76205
0.29926,1.1291
-0.21363,-0.18983
0.32461,1.153
-0.53221,0.52325
-0.52899,0.82874
0.60364,2.0594
0.2534,0.9404
0.25295,0.85768
0.22517,0.77188
0.73285,2.422
0.12527,0.1496
0.2152,0.49231
0.66677,2.1202
0.56557,1.6155
-0.57965,1.3809
-0.71428,2.7153
-0.46812,0.158
-0.37335,-0.083473
0.85651,2.8937
0.78503,2.2588
0.28808,0.97333
-0.21671,-0.50047
-0.089056,-0.25925
-0.27265,-0.24355
0.94293,3.279
0.0025307,0.24575
0.73182,2.266
0.48503,1.3432
-0.71523,2.9016
-0.39911,0.24165
-0.59928,1.3937
-0.39281,-0.033193
-0.73993,3.0314
0.5147,1.6721
-0.73536,3.204
-0.29183,-0.49621
0.80937,2.741
-0.52478,0.92957
-0.42493,0.28935
-0.42255,0.24017
-0.61864,1.4548
0.62694,1.9097
0.44824,1.1984
-0.51212,0.57646
0.63101,1.852
-0.75823,3.6787
0.25151,0.94453
0.52052,1.3786
-0.18499,-0.51242
0.01444,-0.11368
0.11026,0.24627
-0.23917,-0.11616
0.3101,1.0918
-0.90204,6.507
0.0091786,0.19512
